OriginCode,DestinCode,WeekDay,HourDeparture,ModelAircraft,Duration
EGPH,EGKK,6,19,A320,60
EGKK,EHAM,1,15,A320,56
EHAM,EGKK,1,17,A320,41
LIMC,EGKK,3,12,A319,82
LIMC,EHAM,3,17,A319,85
EHAM,LIMC,3,19,A319,73
LFBZ,LFPG,7,7,A319,64
LFBZ,LFPG,3,18,A319,77
LIMC,LFPG,5,6,A319,67
LIPZ,LFPG,5,11,A319,83
LFBZ,LFPG,6,18,A319,70
EHAM,EGGW,7,17,A319,45
EGGW,EGPF,1,15,A319,56
EGPF,EGGW,1,16,A319,51
LSZH,EGGW,2,14,A319,82
EGGW,EDLW,3,6,A319,46
EDLW,EGGW,3,7,A319,64
EDLW,EGGW,4,18,A319,58
EGGW,EGAA,5,14,A319,53
EGAA,EGGW,5,16,A319,47
EGGW,LSZH,6,12,A319,68
LSZH,EGGW,6,14,A319,84
EGKK,EDDL,1,13,A319,45
EDLE,EGKK,1,15,A319,59
EGNT,EHAM,1,13,A319,60
EHAM,EGNT,1,14,A319,65
EGNT,EGAA,2,14,A319,38
EGAA,EGNT,2,16,A319,36
EGNT,EHAM,2,17,A319,58
EHAM,EGNT,2,19,A319,52
EGNT,EGGD,4,6,A319,43
EGNT,EGGD,5,6,A319,49
EGNT,EGAA,6,6,A319,34
EGAA,EGNT,6,7,A319,36
EGNT,EGGD,6,16,A319,53
EGGD,EGNT,6,17,A319,46
EGNT,EGGD,6,19,A319,53
EGGD,EGNT,6,20,A319,45
EGNT,LFMN,7,16,A319,135
EGNT,EHAM,1,12,A319,65
EHAM,EGNT,1,14,A319,49
EGNT,EGGD,2,6,A319,45
EGNT,EGAA,2,14,A319,41
EGAA,EGNT,2,16,A319,36
EGNT,EHAM,2,17,A319,60
EHAM,EGNT,2,19,A319,55
EGNT,EGAA,4,6,A319,33
EGAA,EGNT,4,7,A319,36
EGNT,EHAM,4,15,A319,60
EHAM,EGNT,4,17,A319,64
EGAA,EGNT,4,20,A319,33
EGNT,EGGD,5,6,A319,46
EGNT,EGAA,6,6,A319,37
EGAA,EGNT,6,7,A319,34
EGNT,EGGD,6,16,A319,47
EGGD,EGNT,6,17,A319,46
EGNT,EGGD,6,19,A319,48
EGGD,EGNT,6,20,A319,47
EGNT,EHAM,1,12,A319,71
EHAM,EGNT,1,14,A319,52
EGNT,EGGD,2,6,A319,46
EGAA,EGNT,2,16,A319,36
EGNT,EHAM,2,17,A319,63
EHAM,EGNT,2,19,A319,61
EGAA,EGNT,3,7,A319,29
EGNT,EGAA,3,15,A319,39
EGAA,EGNT,3,17,A319,34
EGNT,EGGD,4,6,A319,50
EGNT,EGAA,5,6,A319,38
EGAA,EGNT,5,7,A319,34
EGNT,EGAA,5,15,A319,38
EGAA,EGNT,5,16,A319,38
EGNT,EGAA,6,6,A319,40
EGAA,EGNT,6,7,A319,36
EGNT,EGGD,6,16,A319,50
EGGD,EGNT,6,17,A319,47
EGNT,EGGD,6,19,A319,46
EGGD,EGNT,6,20,A319,48
EGJJ,EGNT,7,14,A319,65
EGNT,EHAM,1,12,A319,62
EHAM,EGNT,1,14,A319,55
EGNT,EGGD,2,6,A319,52
EGNT,EGAA,2,14,A319,35
EGAA,EGNT,2,16,A319,34
EGNT,EHAM,2,17,A319,55
LIMC,LFPG,6,16,A319,74
LFPG,LIMC,6,18,A319,52
LIMC,EGKK,7,6,A319,84
EGKK,EDLE,2,14,A319,51
EDLN,EGKK,2,16,A319,55
EGKK,EGPF,2,18,A319,63
EGPF,EGKK,2,20,A319,65
EKCH,EGKK,4,15,A319,98
EGKK,EGPF,6,6,A319,56
EGPF,EGKK,6,13,A319,75
EGKK,EHAM,6,15,A319,42
EHAM,EGKK,6,17,A319,58
EGKK,EHAM,1,10,A319,48
EHAM,EGKK,1,12,A319,50
EDLD,EGKK,2,17,A319,67
EGKK,EGPF,2,19,A319,75
EGPF,EGKK,2,21,A319,62
LFML,EGKK,5,10,A319,96
,EGKK,5,20,A319,56
EGKK,EKCH,7,18,A319,78
EKCH,EGKK,1,5,A319,85
EGKK,EKCH,2,16,A319,88
LIMC,EGKK,4,14,A319,92
LIPZ,EGKK,4,19,A319,112
EDDK,EGKK,5,20,A319,62
EKCH,EGKK,7,8,A319,93
EGKK,EDDH,4,6,A319,63
EDDH,EGKK,4,8,A319,85
EKCH,EGKK,6,4,A319,94
LIPZ,EGKK,6,10,A319,108
EGKK,EHAM,5,5,A320,52
EHAM,EGKK,5,6,A320,52
EGKK,EHAM,5,19,A320,50
EHAM,EGPH,5,21,A320,69
EGPH,EGGD,6,18,A320,54
EGGD,EGPH,6,20,A320,49
EGPH,EGSS,1,16,A320,55
EGSS,EGPH,1,17,A320,53
EGPH,EGAA,1,19,A320,30
EGAA,EGPH,1,20,A320,36
EGPH,EGGD,2,18,A320,51
EGGD,EGPH,2,20,A320,58
EGPH,EGGW,3,6,A320,46
EGGW,EGPH,3,7,A320,66
EGPH,EGSS,3,16,A320,55
EGSS,EHAM,3,18,A320,40
EHAM,EGPH,3,19,A320,78
EGPH,EGKK,6,5,A320,61
EGKK,EGPH,6,7,A320,63
EGPH,EHAM,6,9,A320,64
EGPH,EGSS,1,16,A320,59
EGSS,EGPH,1,18,A320,54
EGPH,EGAA,1,20,A320,25
EGAA,EGPH,1,21,A320,35
EGPH,EGKK,2,5,A320,71
EGKK,EGPH,2,7,A320,60
EGPH,EHAM,2,9,A320,70
EGPH,EGSS,3,5,A320,60
EGSS,EGPH,3,7,A320,50
EGPH,EGSS,3,9,A320,61
EGPH,EGKK,5,5,A320,70
EGKK,EGPH,5,7,A320,62
EGPH,EGSS,5,9,A320,62
EGSS,EGPH,5,11,A320,50
EGPH,EGGW,5,12,A320,52
EGGW,EGPH,5,14,A320,46
EGSS,EHAM,5,18,A320,33
EHAM,EGPH,5,20,A320,79
EGPH,EGKK,6,5,A320,58
EGKK,EGPH,6,7,A320,57
EGPH,EHAM,6,9,A320,61
EGPH,EGAA,1,13,A320,35
EGAA,EGPH,1,14,A320,27
EGPH,EGKK,2,5,A320,74
EGKK,EGPH,2,7,A320,53
EGPH,EHAM,2,9,A320,81
LSGG,LFPO,2,19,A320,48
LIPZ,LFPO,4,18,A320,74
EGGD,EGPH,2,5,A320,57
EGGD,EGPH,3,5,A320,55
EGGD,EGPH,4,5,A320,51
EGGD,EGPH,5,5,A320,47
EGGD,EGPH,5,13,A320,49
EGPH,EGGD,5,15,A320,59
EGGD,EGNT,6,5,A320,41
EGGD,EHAM,6,14,A320,58
EHAM,EGGD,6,16,A320,69
EGGD,LFBD,7,12,A320,71
LFBD,EGGD,7,14,A320,70
EGGD,EKCH,1,12,A320,96
EKCH,EGGD,1,15,A320,105
EGGD,EGPH,2,5,A320,60
EGGD,EGPH,4,5,A320,60
EGGD,EGPH,5,5,A320,56
EGGD,EGPH,5,13,A320,57
LFBD,EGGD,7,14,A320,75
EGGD,EGPH,2,5,A320,56
EGPH,EGGD,2,7,A320,53
LSGG,EGGD,2,11,A320,92
EGGD,EGPH,3,5,A320,63
EGPH,EGGD,3,7,A320,50
EGGD,EHAM,3,14,A320,55
EHAM,EGGD,3,16,A320,59
EGGD,EGPH,4,5,A320,60
EGPH,EGGD,4,7,A320,50
LSGG,EGGD,4,11,A320,98
EGGD,EGPH,5,5,A320,56
EGPH,EGGD,5,7,A320,54
EGGD,EGPH,5,13,A320,56
EGPH,EGGD,5,15,A320,53
EGGD,EGNT,6,5,A320,47
EGGD,EHAM,6,14,A320,54
EHAM,EGGD,6,16,A320,63
EGGD,LFBD,7,12,A320,77
EGGD,EKCH,1,12,A320,98
EKCH,EGGD,1,15,A320,96
EGGD,EGPH,2,5,A320,51
EGPH,EGGD,2,7,A320,51
EGGD,EGPH,3,5,A320,52
EGPH,EGGD,3,7,A320,59
EGGD,EHAM,3,14,A320,56
EHAM,EGGD,3,15,A320,63
LFPG,EGGD,5,17,A320,59
LFBD,EGGD,7,14,A320,61
LFBZ,LFPG,1,17,A319,77
LFPG,LIMC,1,20,A319,54
EGKK,EKCH,6,6,A319,83
EKCH,EGKK,6,8,A319,98
LIMC,LFPG,5,13,A319,64
LIMC,EBBR,3,4,A319,74
LIMN,EBBR,4,4,A319,71
EKCH,EGCC,2,14,A319,102
LIMC,EHAM,5,5,A319,89
LIMC,LFPG,5,9,A319,66
LIMC,EHAM,6,5,A319,89
LIMC,LFPG,7,4,A319,75
LIMC,LIEE,7,8,A319,63
LSGG,EGGW,1,19,A319,78
EGGW,EGPD,2,18,A319,60
EGPD,EGGW,2,20,A319,58
LIMC,EHAM,1,5,A320,83
LIMC,LFPG,4,4,A320,64
EHAM,LIMC,6,12,A320,73
LIMC,LFPG,1,4,A320,64
LIMC,LIEE,1,8,A320,68
LIMC,LFPG,5,4,A320,64
LIMC,LFPG,2,4,A320,60
LIMC,LFPG,3,4,A320,79
LIMC,LFPG,4,13,A320,62
LIMC,EHAM,1,5,A320,97
LIMC,LFPG,1,10,A320,63
LIMC,LIEE,2,8,A320,67
LIMC,LFPG,4,10,A320,65
LIMC,EGKK,7,9,A320,89
LIMC,LFPG,1,14,A320,65
LFPG,LIMC,1,16,A320,59
EGSS,EGAA,2,12,A319,54
EGAA,EGSS,2,14,A319,49
EGSS,EKCH,5,6,A319,71
EKCH,EGSS,5,8,A319,82
EGSS,EGAA,6,12,A319,50
EGAC,EGSS,6,14,A319,55
EGSS,EHAM,7,13,A319,43
EHAM,EGSS,7,14,A319,40
EGSS,EGAA,1,12,A319,51
EGAA,EGSS,1,14,A319,56
EGSS,EGPF,2,11,A319,58
EGPF,EGSS,2,13,A319,53
EGSS,EGPH,2,15,A319,60
EGPH,EHAM,2,17,A319,70
EHAM,EGSS,2,19,A319,35
EGSS,EGPF,3,11,A319,59
EGPF,EGSS,3,13,A319,53
EGSS,EGPH,3,15,A319,54
EGPH,EHAM,3,17,A319,99
EHAM,EGSS,3,20,A319,39
LJLJ,EGSS,4,9,A319,108
EGSS,EGAC,4,12,A319,49
EGAA,EGSS,4,14,A319,47
EGSS,EKCH,1,6,A319,83
EKCH,EGSS,1,8,A319,82
EHAM,EGSS,1,17,A319,40
EGSS,EGPF,2,11,A319,60
EGPH,EHAM,2,17,A319,61
EHAM,EGSS,2,18,A319,44
EGSS,EGPF,4,11,A319,63
EGPF,EGSS,4,13,A319,54
EGSS,EGPH,4,15,A319,61
EGPH,EHAM,4,17,A319,62
EHAM,EGSS,4,18,A319,42
EGSS,EGPF,6,11,A319,56
EGPF,EGSS,6,13,A319,49
EGSS,EGPH,6,15,A319,57
EGPH,EHAM,6,16,A319,60
EHAM,EGSS,6,19,A319,39
EGSS,EHAM,7,13,A319,46
EHAM,EGSS,7,14,A319,42
EGGD,EHAM,7,5,A319,52
EGGD,LFPG,7,9,A319,54
LFPG,EGGD,7,11,A319,49
EGGD,EGAA,1,11,A319,46
EGAA,EGGD,1,13,A319,50
EGGD,LSGG,1,15,A319,82
LSGG,EGGD,1,17,A319,87
EGGD,EGPF,1,19,A319,55
EGPF,EGGD,1,21,A319,46
EKCH,EGGD,2,15,A319,98
LIMC,EHAM,3,14,A319,80
LIMC,EHAM,5,14,A319,92
LIMC,EHAM,3,14,A319,88
EHAM,EGNT,2,19,A319,53
EGNT,EGAA,3,6,A319,35
EGAA,EGNT,3,7,A319,35
EGNT,EGAA,3,15,A319,35
EGAA,EGNT,3,17,A319,38
EGNT,EGAA,4,6,A319,35
EGAA,EGNT,4,7,A319,34
EGNT,EHAM,4,15,A319,53
EGNT,EGAA,4,19,A319,42
EGAA,EGNT,4,20,A319,34
EGNT,EGGD,5,6,A319,45
EGNT,EGGD,6,6,A319,45
EGNT,EGAA,6,14,A319,41
EGAA,EGNT,6,16,A319,43
EGNT,EHAM,6,17,A319,60
EHAM,EGNT,6,19,A319,63
EGNT,EGGD,7,6,A319,43
EGGD,EGNT,7,7,A319,46
EGNT,EHAM,1,12,A319,59
EHAM,EGNT,1,14,A319,63
EGNT,EGAA,2,6,A319,38
EGAA,EGNT,2,7,A319,39
EGNT,EGGD,2,16,A319,41
EGGD,EGNT,2,17,A319,44
EGGD,EGNT,2,20,A319,41
EGGW,EGPF,1,14,A319,56
EGPF,EGGW,1,16,A319,48
EGGW,EHAM,2,15,A319,43
EHAM,EGGW,2,17,A319,39
EGGW,EHAM,3,5,A319,51
EHAM,EGGW,3,6,A319,41
EGGW,EHAM,3,8,A319,54
EHAM,EGGW,3,10,A319,41
EGGW,EGPD,3,18,A319,64
EGPD,EGGW,3,20,A319,60
EGGW,EGAA,4,14,A319,52
EGAA,EGGW,4,16,A319,51
EGGD,EGNT,5,5,A319,44
EGGD,EGPF,6,11,A319,49
EGPF,EGGD,6,12,A319,64
EGGD,EGAA,6,14,A319,45
EGAA,EGGD,6,16,A319,49
EGGD,EGPF,7,11,A319,53
EGGD,EGPH,1,12,A319,50
EGPH,EGGD,1,14,A319,54
EGGD,EGPH,1,15,A319,55
EGPH,EGGD,1,18,A319,53
EGGD,EGPH,1,19,A319,56
EGPH,EGGD,1,21,A319,53
EGGD,EGNT,2,5,A319,59
EGGD,EHAM,2,14,A319,58
EHAM,EGGD,2,16,A319,66
LIPZ,LSGG,4,17,A319,53
EGGW,EDDH,5,13,A319,64
EDDH,EGGW,5,15,A319,64
EGGW,LSZH,7,12,A319,70
EGGW,EGPF,1,14,A319,57
EGPF,EGGW,1,16,A319,51
EGGW,EGAA,2,14,A319,56
EGAA,EGGW,2,16,A319,44
EGGD,EGNT,3,5,A319,48
EGGD,EKCH,4,16,A319,87
EKCH,EGGD,4,18,A319,100
EGGD,EKCH,6,12,A319,98
EKCH,EGGD,6,15,A319,98
LFBD,EGGD,1,8,A319,77
LSGG,EGGD,1,13,A319,80
EGAA,EGGD,1,17,A319,46
EGGD,EGNT,2,5,A319,46
EGGD,EHAM,2,14,A319,56
EHAM,EGGD,2,16,A319,61
EGGD,EGPF,3,6,A319,57
EGPF,EGGD,3,8,A319,54
EGGD,EGPF,3,15,A319,51
EGPF,EGGD,3,17,A319,54
EGGD,EKCH,4,16,A319,90
EKCH,EGGD,4,18,A319,108
LFBD,EGGD,5,14,A319,72
EGAA,EGGD,7,8,A319,48
EGGD,LIRP,7,9,A319,112
LIRP,EGGD,7,12,A319,113
LIMC,LFPG,3,17,A319,64
LIMC,LFPG,7,17,A319,57
LIMN,LFPG,1,18,A319,60
LFLL,LFMN,2,14,A319,35
LIPZ,LFMN,2,17,A319,58
LIPZ,LFMN,4,16,A319,49
LFMN,LEBL,4,18,A319,51
EGGW,LSGG,6,6,A319,79
EGGW,EGAA,6,11,A319,50
EGAA,EGGW,6,12,A319,44
EGGW,EGAA,6,14,A319,51
EGAA,EGGW,6,16,A319,47
EGGW,EGAA,7,10,A319,56
EGAA,EGGW,7,12,A319,50
EGGW,EDLW,1,11,A319,57
EDLA,EGGW,1,12,A319,57
EGGW,EGPD,1,18,A319,58
EGPD,EGGW,1,20,A319,74
EGGW,EHAM,2,5,A319,46
EHAM,EGGW,2,7,A319,49
EGGW,EHAM,2,8,A319,48
EHAM,EGGW,2,10,A319,52
LFBD,EGGW,2,15,A319,73
EGPF,EGGD,1,13,A319,53
EGGD,EGPF,1,14,A319,57
EGPF,EGAA,1,16,A319,28
EGAA,EHAM,1,17,A319,70
EHAM,EGPF,1,19,A319,77
EGPF,EGSS,2,5,A319,53
EGSS,EGPF,2,7,A319,58
EGPF,EGAA,2,8,A319,24
EGAA,EGPF,2,9,A319,28
EGPF,EGAA,2,18,A319,28
EGAA,EGPF,2,20,A319,25
EGPF,EGSS,3,5,A319,58
EGSS,EGPF,3,7,A319,51
EGPF,EGAA,3,8,A319,25
EGAA,EGPF,3,9,A319,25
EGPF,EGAA,3,18,A319,30
EGAA,EGPF,3,20,A319,27
EGPF,EGAA,4,6,A319,34
EGAA,EGPF,4,7,A319,27
EGPF,EGSS,5,5,A319,67
EGSS,EGPF,5,7,A319,49
EGPF,EGAA,5,14,A319,25
EGAA,EGPF,5,15,A319,26
EGPF,EGAC,5,16,A319,24
EGAA,EGPF,5,17,A319,24
EGPF,EGAA,5,18,A319,41
EGAA,EGPF,5,20,A319,24
EGPF,EGAA,6,5,A319,20
EGAA,EGPF,6,7,A319,23
EGPF,EGGW,7,6,A319,54
EGGW,EGPF,7,7,A319,48
EGPF,EGSS,7,9,A319,59
EGPF,EGAA,7,12,A319,27
EGAA,EGPF,7,13,A319,19
EGPF,EGSS,1,6,A319,55
EGSS,EGPF,1,7,A319,48
EGPF,EGSS,1,9,A319,58
EGSX,EGPF,1,11,A319,54
EGPF,EGKK,1,18,A319,64
EGKK,EGPF,1,20,A319,61
EGPF,EGAA,2,6,A319,21
EGAA,EGPF,2,7,A319,23
EGPF,EGGW,2,8,A319,48
EGGW,EGPF,2,9,A319,53
EGPF,EGAA,2,11,A319,20
EGAA,EGPF,2,12,A319,24
EGPF,EHAM,2,14,A319,67
EHAM,EGPF,2,16,A319,73
EGPF,EGSS,2,18,A319,51
EGSS,EGPF,2,20,A319,52
EGPF,EGSS,3,5,A319,53
EGSS,EGPF,3,7,A319,55
EGPF,EGAA,3,8,A319,21
EGAA,EGPF,3,10,A319,29
EGPF,EGAA,3,19,A319,21
EGAA,EGPF,3,20,A319,30
EGPF,EGAA,4,5,A319,22
EGAA,EGPF,4,6,A319,25
EGPF,EGGW,5,6,A319,49
EGGW,EGPF,5,13,A319,52
EGPF,EGGW,5,15,A319,55
EGGW,EGPF,5,17,A319,58
EGPF,EGSS,5,18,A319,57
EGPF,EGAA,6,5,A319,23
EGAA,EGPF,6,7,A319,29
EGJJ,EGPF,7,8,A319,69
EGPF,LFPG,7,10,A319,83
LFPG,EGPF,7,13,A319,77
EGPF,EGSS,1,5,A319,55
EGSS,EGPF,1,7,A319,57
EGPF,EGSS,1,9,A319,57
EGPF,EGKK,1,18,A319,79
EGKK,EGPF,1,20,A319,64
EGPF,EGGW,2,5,A319,56
EGGW,EGPF,2,13,A319,59
EGPF,EGSS,2,15,A319,57
EGSS,EGPF,2,17,A319,62
EGPF,EGGW,2,18,A319,49
EGGW,EGPF,2,20,A319,61
EGAA,EGPF,3,6,A319,28
EGPF,EGSS,4,5,A319,49
EGSS,EGPF,4,7,A319,57
EGPF,EGAA,4,8,A319,24
EGAA,EGPF,4,9,A319,35
EGPF,EGAA,4,18,A319,26
EGAA,EGPF,4,20,A319,29
EGPF,EGAA,5,6,A319,25
EGAA,EGPF,5,7,A319,29
EGPF,EGSS,6,5,A319,53
EGSS,EGPF,6,7,A319,52
EHAM,EGPF,6,10,A319,83
EGPF,EGAA,6,14,A319,23
EGAA,EGPF,6,15,A319,24
EGPF,EGAA,6,16,A319,24
EGAA,EGPF,6,17,A319,30
EGPF,EGAA,6,19,A319,22
EGAA,EGPF,6,20,A319,31
EGJJ,EGPF,7,8,A319,76
LFPG,EGPF,7,13,A319,88
EGPF,EGGD,1,13,A319,55
EGGD,EGPF,1,14,A319,50
EGPF,EGAA,1,16,A319,24
EGAA,EHAM,1,17,A319,70
EHAM,EGPF,1,19,A319,70
EGPF,EGSS,2,5,A319,63
EGPF,EGAA,2,9,A319,25
EGAA,EGPF,2,10,A319,30
EGPF,EGAA,2,19,A319,24
EGAA,EGPF,2,20,A319,30
EGPF,EGAA,3,5,A319,24
EGAA,EGPF,3,6,A319,25
EGPF,EGSS,3,15,A319,53
EGPF,EGGW,3,19,A319,48
EGGW,EGPF,3,20,A319,53
EGPF,EGAA,4,5,A319,26
EGAA,EGPF,4,6,A319,29
EGPF,EGAA,5,6,A319,35
EGAA,EGPF,5,7,A319,23
EGPF,EGAA,6,6,A319,26
EGAA,EGPF,6,7,A319,23
EGPF,LFPG,7,10,A319,80
LFPG,EGPF,7,13,A319,86
EGPF,EGAA,1,8,A319,29
EGAA,EGPF,1,9,A319,29
EGPF,EGKK,1,10,A319,65
EGCC,EGAA,1,12,A319,37
EGAA,EGCC,1,13,A319,33
EGCC,EDDH,1,15,A319,76
EDDH,EGCC,1,17,A319,83
EGCC,EGAA,1,19,A319,34
EGAA,EGCC,1,21,A319,37
EKCH,EGCC,2,11,A319,94
EGCC,EGAA,3,18,A319,34
EGAA,EGCC,3,19,A319,35
EGCC,EGAA,4,18,A319,32
EGAA,EGCC,4,19,A319,39
EGCC,EHAM,5,18,A319,57
EHAM,EGCC,5,20,A319,50
EGCC,EHAM,7,7,A319,58
EHAM,EGCC,7,9,A319,50
EGAA,EGCC,1,13,A319,36
EGCC,EDDH,1,15,A319,78
EGCC,EGAA,1,19,A319,35
EGAA,EGCC,1,21,A319,34
EGCC,EKCH,2,6,A319,84
EKCH,EGCC,2,9,A319,95
EGCC,EGAA,2,18,A319,33
EGAA,EGCC,2,20,A319,34
EGCC,LIPZ,3,13,A319,112
