OriginCode;DestinCode;WeekDay;HourDeparture;ModelAircraft;FlightDuration
EGGD ;EGPE ;3;11;A319;58.06666666666667
EGGP ;EGGP ;3;11;A319;110.91666666666667
EGGW ;LSZH ;3;12;A319;68.76666666666667
EGSS ;EGSS ;3;12;A319;158.26666666666668
EGPF ;EGGW ;3;12;A319;57.05
EGMC ;EGMC ;3;12;A319;173.05
LIMC ;EGPH ;3;13;A319;124.58333333333333
EGPH ;EGSS ;3;13;A319;246.85
EGAA ;EGKK ;3;13;A319;64.91666666666667
EGJJ ;EGMC ;3;13;A319;35.88333333333333
EGGW ;EGGW ;3;13;A319;199.88333333333333
EGPF ;EGKK ;3;13;A319;65.58333333333333
EGGW ;EGPF ;3;13;A319;292.51666666666665
EGPF ;EGSS ;3;13;A319;379.35
EGKK ;EGPF ;3;13;A320;53.3
EGCC ;EDDH ;3;13;A319;83.96666666666667
EGKK ;EGKK ;3;13;A319;154.31666666666666
EGKK ;EGNS ;3;13;A319;54.0
EGJJ ;EGGP ;3;13;A319;47.61666666666667
EGPH ;LFPG ;3;14;A319;90.56666666666666
EGGD ;EGGD ;3;14;A319;166.08333333333334
EGKK ;EGKK ;3;14;A320;176.83333333333334
LSZH ;EGGW ;3;14;A319;79.81666666666666
EGGW ;LFPG ;3;14;A319;53.083333333333336
EGKK ;EDLN ;3;14;A319;51.733333333333334
EGGW ;EGGW ;3;14;A319;150.9
EKCH ;EGKK ;3;15;A319;98.05
LFPG ;EGAA ;3;15;A319;81.63333333333334
EGAA ;EGAA ;3;15;A319;389.23333333333335
EGMC ;EHAM ;3;15;A319;40.983333333333334
EGGW ;EGAA ;3;15;A319;245.31666666666666
EGGD ;EGGD ;3;15;A319;152.01666666666668
EGPF ;EGPF ;3;15;A320;344.81666666666666
EGGD ;EGGD ;3;15;A319;352.98333333333335
EGSS ;EGSS ;3;15;A319;148.76666666666668
EGGP ;EGGP ;3;15;A319;108.91666666666667
EGNT ;EHAM ;3;15;A319;58.31666666666667
EGGP ;LFPG ;3;15;A319;57.93333333333333
EDDH ;EGCC ;3;15;A319;76.56666666666666
EGAA ;EGAA ;3;15;A319;118.56666666666666
EGNS ;EGGP ;3;16;A319;21.75
EGGD ;EGGD ;3;16;A319;249.68333333333334
LFPG ;EGGW ;3;16;A319;47.96666666666667
EKCH ;EGSS ;3;16;A320;280.8666666666667
EDLE ;EGKK ;3;16;A319;62.78333333333333
LFPG ;EGPH ;3;16;A319;270.03333333333336
EHAM ;EGKK ;3;17;A319;73.71666666666667
EBBR ;LIMN ;3;17;A319;53.166666666666664
EGKK ;EGKK ;3;17;A319;173.81666666666666
EGGW ;EGGW ;3;17;A319;144.9
EHAM ;EGAA ;3;17;A319;153.76666666666668
EGAA ;EGAA ;3;17;A319;129.81666666666666
EGKK ;LFBZ ;3;17;A320;83.2
LFPG ;EGGD ;3;17;A319;53.983333333333334
EGKK ;EGPD ;3;17;A320;71.21666666666667
LFPG ;EGGP ;3;17;A319;204.96666666666667
EGGW ;EGGW ;3;17;A319;146.65
LIPZ ;LSGG ;3;18;A319;50.25
EGPH ;EGPH ;3;18;A319;154.03333333333333
EGKK ;EGKK ;3;18;A319;152.8
EGKK ;     ;3;18;A319;47.916666666666664
EGCC ;EGCC ;3;18;A319;152.23333333333332
LFBZ ;LFPG ;3;18;A319;60.266666666666666
EGCC ;EGCC ;3;18;A319;128.78333333333333
EGGW ;EGGW ;3;18;A319;172.56666666666666
EGPH ;EGPH ;3;18;A319;146.06666666666666
EGPF ;EGPF ;3;18;A319;93.93333333333334
EGPH ;EGKK ;3;19;A319;65.96666666666667
EGGP ;EGGP ;3;19;A320;159.5
EGNT ;EGNT ;3;19;A320;132.28333333333333
EGNT ;EGNT ;3;19;A319;107.76666666666667
EGKK ;EGAA ;3;19;A319;61.333333333333336
EHAM ;EGPH ;3;19;A319;68.31666666666666
